sampleid,x,y
0,79,1
1,860,1
2,376,1
3,557,1
4,876,1
5,576,1
6,743,1
7,247,1
8,445,1
9,43,1
10,628,1
11,542,1
12,408,1
13,325,1
14,695,1
15,421,1
16,827,1
17,115,1
18,363,1
19,835,1
20,211,1
21,368,1
22,530,1
23,156,1
24,580,1
25,79,1
26,400,1
27,562,1
28,76,1
29,698,1
30,28,1
31,49,1
32,865,1
33,206,1
34,644,1
35,275,1
36,98,1
37,441,1
38,512,1
39,931,1
40,667,1
41,45,1
42,689,1
43,94,1
44,1015,0
45,110,1
46,507,1
47,956,1
48,229,1
49,471,1
50,481,1
51,606,1
52,691,1
53,293,1
54,867,1
55,961,1
56,858,1
57,27,1
58,484,1
59,351,1
60,888,1
61,229,1
62,514,1
63,301,1
64,1019,0
65,824,1
66,175,1
67,617,1
68,912,1
69,378,1
70,979,1
71,628,1
72,474,1
73,299,1
74,933,1
75,121,1
76,599,1
77,108,1
78,506,1
79,360,1
80,922,1
81,972,1
82,608,1
83,604,1
84,347,1
85,932,1
86,342,1
87,872,1
88,781,1
89,836,1
90,1020,0
91,968,1
92,414,1
93,239,1
94,793,1
95,857,1
96,249,1
97,620,1
98,655,1
99,99,1
100,825,1
101,47,1
102,41,1
103,84,1
104,28,1
105,720,1
106,735,1
107,703,1
108,152,1
109,557,1
110,135,1
111,372,1
112,172,1
113,766,1
114,20,1
115,232,1
116,990,1
117,145,1
118,632,1
119,884,1
120,610,1
121,742,1
122,842,1
123,402,1
124,318,1
125,65,1
126,227,1
127,334,1
128,562,1
129,238,1
130,831,1
131,488,1
132,896,1
133,217,1
134,125,1
135,453,1
136,250,1
137,327,1
138,650,1
139,847,1
140,172,1
141,928,1
142,385,1
143,296,1
144,416,1
145,796,1
146,848,1
147,671,1
148,156,1
149,280,1
150,168,1
151,74,1
152,910,1
153,243,1
154,65,1
155,142,1
156,877,1
157,969,1
158,483,1
159,769,1
160,214,1
161,583,1
162,63,1
163,317,1
164,679,1
165,724,1
166,311,1
167,916,1
168,255,1
169,409,1
170,951,1
171,295,1
172,47,1
173,933,1
174,172,1
175,198,1
176,770,1
177,852,1
178,48,1
179,194,1
180,342,1
181,340,1
182,583,1
183,989,1
184,423,1
185,649,1
186,358,1
187,627,1
188,142,1
189,506,1
190,464,1
191,149,1
192,517,1
193,1024,0
194,414,1
195,899,1
196,124,1
197,874,1
198,518,1
199,47,1
200,825,1
201,371,1
202,753,1
203,319,1
204,401,1
205,615,1
206,62,1
207,140,1
208,125,1
209,25,1
210,172,1
211,982,1
212,668,1
213,713,1
214,397,1
215,463,1
216,876,1
217,819,1
218,236,1
219,344,1
220,850,1
221,531,1
222,890,1
223,928,1
224,339,1
225,424,1
226,338,1
227,303,1
228,185,1
229,1022,0
230,402,1
231,46,1
232,643,1
233,879,1
234,148,1
235,236,1
236,119,1
237,663,1
238,1003,0
239,263,1
240,837,1
241,230,1
242,249,1
243,26,1
244,162,1
245,598,1
246,334,1
247,826,1
248,491,1
249,139,1
250,166,1
251,718,1
252,63,1
253,276,1
254,47,1
255,272,1
256,930,1
257,734,1
258,533,1
259,859,1
260,625,1
261,917,1
262,81,1
263,604,1
264,492,1
265,970,1
266,935,1
267,439,1
268,625,1
269,734,1
270,638,1
271,768,1
272,496,1
273,841,1
274,435,1
275,802,1
276,934,1
277,334,1
278,106,1
279,754,1
280,663,1
281,265,1
282,198,1
283,20,1
284,10,1
285,857,1
286,794,1
287,230,1
288,751,1
289,957,1
290,626,1
291,1013,0
292,669,1
293,428,1
294,453,1
295,907,1
296,979,1
297,492,1
298,720,1
299,295,1
300,248,1
301,613,1
302,126,1
303,456,1
304,1008,0
305,192,1
306,516,1
307,805,1
308,616,1
309,1009,0
310,22,1
311,392,1
312,793,1
313,362,1
314,413,1
315,457,1
316,369,1
317,656,1
318,421,1
319,659,1
320,141,1
321,724,1
322,527,1
323,165,1
324,181,1
325,170,1
326,142,1
327,909,1
328,705,1
329,159,1
330,489,1
331,877,1
332,300,1
333,647,1
334,491,1
335,787,1
336,557,1
337,944,1
338,196,1
339,91,1
340,643,1
341,359,1
342,853,1
343,508,1
344,78,1
345,142,1
346,844,1
347,1023,0
348,220,1
349,502,1
350,273,1
351,851,1
352,531,1
353,546,1
354,725,1
355,665,1
356,34,1
357,399,1
358,440,1
359,396,1
360,921,1
361,618,1
362,281,1
363,715,1
364,88,1
365,600,1
366,973,1
367,491,1
368,20,1
369,190,1
370,691,1
371,71,1
372,916,1
373,40,1
374,271,1
375,667,1
376,213,1
377,173,1
378,574,1
379,700,1
380,327,1
381,1005,0
382,768,1
383,232,1
384,280,1
385,112,1
386,763,1
387,599,1
388,184,1
389,766,1
390,996,1
391,759,1
392,362,1
393,78,1
394,401,1
395,940,1
396,514,1
397,954,1
398,317,1
399,593,1
400,671,1
401,988,1
402,380,1
403,12,1
404,678,1
405,705,1
406,35,1
407,639,1
408,819,1
409,779,1
410,773,1
411,299,1
412,638,1
413,114,1
414,1006,0
415,112,1
416,499,1
417,178,1
418,459,1
419,363,1
420,682,1
421,676,1
422,244,1
423,735,1
424,202,1
425,670,1
426,52,1
427,429,1
428,647,1
429,568,1
430,891,1
431,898,1
432,13,1
433,546,1
434,130,1
435,991,1
436,698,1
437,306,1
438,820,1
439,125,1
440,46,1
441,452,1
442,149,1
443,309,1
444,732,1
445,52,1
446,546,1
447,666,1
448,354,1
449,173,1
450,628,1
451,202,1
452,715,1
453,265,1
454,502,1
455,824,1
456,384,1
457,161,1
458,835,1
459,986,1
460,397,1
461,527,1
462,355,1
463,410,1
464,527,1
465,951,1
466,327,1
467,24,1
468,674,1
469,282,1
470,1005,0
471,170,1
472,124,1
473,589,1
474,538,1
475,701,1
476,310,1
477,626,1
478,776,1
479,459,1
480,930,1
481,556,1
482,944,1
483,329,1
484,372,1
485,786,1
486,990,1
487,854,1
488,105,1
489,72,1
490,1002,0
491,745,1
492,3,1
493,544,1
494,977,1
495,423,1
496,94,1
497,624,1
498,855,1
499,695,1
500,249,1
501,971,1
502,867,1
503,99,1
504,639,1
505,50,1
506,993,1
507,915,1
508,407,1
509,778,1
510,728,1
511,516,1
512,852,1
513,462,1
514,483,1
515,374,1
516,589,1
517,826,1
518,558,1
519,968,1
520,915,1
521,177,1
522,417,1
523,463,1
524,398,1
525,322,1
526,794,1
527,240,1
528,342,1
529,182,1
530,251,1
531,98,1
532,160,1
533,688,1
534,950,1
535,917,1
536,497,1
537,212,1
538,400,1
539,657,1
540,36,1
541,752,1
542,605,1
543,886,1
544,476,1
545,414,1
546,638,1
547,911,1
548,260,1
549,35,1
550,270,1
551,767,1
552,509,1
553,946,1
554,73,1
555,810,1
556,244,1
557,478,1
558,742,1
559,104,1
560,567,1
561,1005,0
562,863,1
563,962,1
564,826,1
565,615,1
566,730,1
567,767,1
568,1001,0
569,442,1
570,110,1
571,684,1
572,727,1
573,597,1
574,51,1
575,571,1
576,435,1
577,124,1
578,293,1
579,899,1
580,792,1
581,880,1
582,790,1
583,150,1
584,192,1
585,1017,0
586,841,1
587,34,1
588,131,1
589,445,1
590,919,1
591,60,1
592,347,1
593,882,1
594,33,1
595,376,1
596,298,1
597,847,1
598,338,1
599,592,1
600,348,1
601,495,1
602,273,1
603,95,1
604,293,1
605,533,1
606,360,1
607,652,1
608,216,1
609,426,1
610,329,1
611,589,1
612,933,1
613,337,1
614,844,1
615,397,1
616,157,1
617,113,1
618,409,1
619,987,1
620,694,1
621,433,1
622,937,1
623,258,1
624,129,1
625,825,1
626,247,1
627,229,1
628,360,1
629,828,1
630,423,1
631,313,1
632,522,1
633,324,1
634,840,1
635,463,1
636,928,1
637,92,1
638,916,1
639,20,1
640,143,1
641,856,1
642,686,1
643,862,1
644,347,1
645,461,1
646,376,1
647,163,1
648,162,1
649,20,1
650,153,1
651,819,1
652,325,1
653,212,1
654,186,1
655,959,1
656,977,1
657,986,1
658,157,1
659,882,1
660,232,1
661,418,1
662,900,1
663,349,1
664,756,1
665,143,1
666,346,1
667,314,1
668,944,1
669,638,1
670,774,1
671,968,1
672,802,1
673,867,1
674,251,1
675,119,1
676,886,1
677,683,1
678,44,1
679,281,1
680,184,1
681,710,1
682,776,1
683,779,1
684,282,1
685,239,1
686,121,1
687,780,1
688,631,1
689,503,1
690,268,1
691,451,1
692,213,1
693,117,1
694,495,1
695,402,1
696,121,1
697,419,1
698,573,1
699,537,1
700,247,1
701,399,1
702,499,1
703,114,1
704,687,1
705,376,1
706,612,1
707,785,1
708,467,1
709,71,1
710,984,1
711,25,1
712,657,1
713,1019,0
714,960,1
715,75,1
716,604,1
717,848,1
718,817,1
719,475,1
720,202,1
721,169,1
722,839,1
723,907,1
724,655,1
725,605,1
726,177,1
727,232,1
728,42,1
729,65,1
730,710,1
731,584,1
732,91,1
733,262,1
734,782,1
735,341,1
736,259,1
737,511,1
738,961,1
739,21,1
740,407,1
741,929,1
742,542,1
743,396,1
744,756,1
745,184,1
746,689,1
747,16,1
748,591,1
749,782,1
750,686,1
751,208,1
752,254,1
753,633,1
754,14,1
755,575,1
756,226,1
757,517,1
758,662,1
759,364,1
760,671,1
761,713,1
762,27,1
763,353,1
764,275,1
765,288,1
766,1021,0
767,814,1
768,1004,0
769,670,1
770,272,1
771,823,1
772,65,1
773,458,1
774,100,1
775,172,1
776,78,1
777,850,1
778,645,1
779,868,1
780,1001,0
781,422,1
782,44,1
783,191,1
784,570,1
785,299,1
786,627,1
787,38,1
788,491,1
789,827,1
790,997,1
791,261,1
792,238,1
793,482,1
794,0,1
795,689,1
796,903,1
